text,hashtags,date,user,users number of followers,location
"@BarryVictor5 I don't want Savannah to get covid, but I am very disappointed that she is conducting the town hall. I will no longer watch her in the mornings.  Hello Good Morning America!
",[],2020-10-16 00:10:10,Cuptnt1,271,
"I love him so much we don’t deserve him 🥺
",[],2020-10-16 00:10:10,kyzztin,4023,
"Vote early... #vote by mail #deliver to ballot drop-off #then you’re done  #avoid the crowds #avoid the long lines #avoid the long wait in line #avoid COVID-19 exposure #avoid electronic voting https://t.co/TamooCcjfj
","['vote', 'deliver', 'then', 'avoid', 'avoid']",2020-10-16 00:10:10,CarlosAbrille,2872,"Palm Springs, CA"
"Trump’s argument that he has to be “out there” as president despite Covid sounds plausible. But in context he means he has to campaign for president. Not be president.
",[],2020-10-16 00:10:10,JonahDispatch,347025,"Washington, DC"
"Oh My???He is supposed to visit Ocala tomorrow-Super Spreader Jingo!!!!!
",[],2020-10-16 00:10:10,BillLundell1,713,
"a Lecture on “the Impact of Covid 19 on the Global Terrorist Landscape” via video link.
",[],2020-10-16 00:10:10,The_QVDS,892,
"According to Trump people wearing a mask are MORE likely to get covid than those who do not wear a mask.
",[],2020-10-16 00:10:10,RTRageTV,469,Miami
"I think that Trump's Covid 19 illness was a fake. No kidding why don't more people talk about this too. And the way he now talks about Dr Faucai ? How can a sane person be rude to a wonderful man like he is???? Trump is unbalanced and should not be elected for anything!
",[],2020-10-16 00:10:11,84stillcounting,4538,"Florence, Alabama"
"Change is hard. That's why the @CrisisTextLine is available 24/7 if you need to talk to someone. Text HOME to 741741 to connect with a Crisis Counselor. Visit the Crisis Text Line if you're struggling with isolation, https://t.co/Tz2YDNh4G5. #CrisisTextLine #WhatHelpsUs #COVID
",[],2020-10-16 00:10:11,drjulieconnor,2844,"Kansas, USA"
"Nothing like a week in the ICU to set you straight.
",[],2020-10-16 00:10:11,Cyn190,1415,"Ann Arbor, MI"
"""We make up 4-percent of the world's population and we have 20-percent of the deaths [from #COVIDー19].""  --@JoeBiden   #BidenTownHall
","['COVIDー19', 'BidenTownHall']",2020-10-16 00:10:11,AndreaChalupa,130135,NYC
"This man must be silly for such statement why can't he cancel Ondo and Edo elections because of Covid-19
",[],2020-10-16 00:10:12,ambiggest_opera,64,
"@VBadawey You’re so full of shit!  You complain in FC that the opposition isn’t helping with COvid response.  You assholes prorogued parliament and tried to rush through things without debate.  How stupid do you think Canadians are.  We see right through your bullshit.  Sit down idiot.
",[],2020-10-16 00:10:12,NoMoreLore259,1084,  Canada
"Enough about the COVID already, @NBC. Total yawn.
",[],2020-10-16 00:10:12,AdeleDini,1052,
"Yes bro everyone’s. Lmao Twitter got covid
",[],2020-10-16 00:10:12,kingqueefy,680,"La Bay, Ca"
"Stupid @SavannahGuthrie is going to spend a hour on wearing masks. CDC says 80% people who wear Masks are getting COVID.  She is so IGNORANT!!! #Trump2020Landslide
",[],2020-10-16 00:10:12,kia_kan,4908,United States
"The adult Canidate is speaking.
",[],2020-10-16 00:10:12,pryce_debbie,278,
"Great work by Victorians❤️❤️❤️
",[],2020-10-16 00:10:12,JennyMikakos,28390,"Melbourne, Victoria, Australia"
"Trump just repeated this dangerous false claim
",[],2020-10-16 00:10:12,apiper13,4680,
"Type O is the oldest and strongest blood.  There are so many diseases you’re less likely to get if you have O blood. Supposedly.   About 35% of us have O blood.
",[],2020-10-16 00:10:12,raganbeth,2025,
"Translation:  Dem voters are questioning why they should sell votes to a party leadership that fails to buy them.
",[],2020-10-16 00:10:12,MarquisDeMarche,301,"South of I-10, USA"
"“People with masks are getting it (COVID-19) all the time” -@realDonaldTrump.  “I can’t be locked in a room for the next year” #unreal
",['unreal'],2020-10-16 00:10:12,shnicholson,889,"Halifax, Nova Scotia"
"BREAKING: Biden-Harris Campaign Staffers Test Positive for COVID-19 https://t.co/FMxZtV14kV // Can I snicker? 😏
",[],2020-10-16 00:10:12,cat_1012000,15911,"Midwest (NE,IA,KS)"
"NBC Debate is COVID, COVID L, COVID. Ask a question and quit trying to demonize @realDonaldTrump because he doesn’t wear a mask. Get over yourself @NBC.
",[],2020-10-16 00:10:12,SusanKnowles,13374,USA
